Product_Name,Selling Price,MRP,Items Bought Last Month,Ratings
Womens GreekyfitnessCasual Shoe,₹370,599,,4.0 out of 5 stars 148
Women Black Casual Stylish Sneakers,₹524,999,100+ bought in past month,"3.7 out of 5 stars 1,432"
Round White Sneakers for Women,₹429,"1,999",50+ bought in past month,3.7 out of 5 stars 50
Slip On Sneakers for Women | Latest Trend Women Casual Shoes,₹599,999,50+ bought in past month,3.5 out of 5 stars 361
Women Casual Shoes White Beige Sneakers,₹585,999,50+ bought in past month,3.3 out of 5 stars 24
Womens Cross WN's Running Shoe,,,,4.0 out of 5 stars 394
Women Casual Sneakers for Girl's,₹226,698,50+ bought in past month,3.5 out of 5 stars 775
Womens Sd0191L Sneaker,₹559,699,,3.9 out of 5 stars 957
Women's Camp-Clint Running Shoe,"₹1,199","1,799",50+ bought in past month,3.9 out of 5 stars 88
Womens Ivana Running Shoe,,,,4.1 out of 5 stars 601
Women's Lpmxt-962e Sandal,₹328,999,50+ bought in past month,4.0 out of 5 stars 5
Womens MeshWalking Shoe,₹433,639,50+ bought in past month,4.1 out of 5 stars 989
Womens SX0123L Greypink Walking Shoe - 7 UK (SX0123LGYPK0007),₹629,899,100+ bought in past month,4.3 out of 5 stars 473
Womens Virtue Sneaker,"₹2,810","5,499",,4.5 out of 5 stars 168
Women Leon Tan Ballerinas,₹802,"1,299",,3.6 out of 5 stars 170
Womens Felice Espadrilles,₹659,899,,"4.0 out of 5 stars 2,049"
Unisex-Adult Baya Clog Clog,"₹2,657","4,495",,"4.2 out of 5 stars 112,293"
Girls FitnessCasual Shoe,₹374,532,,3.9 out of 5 stars 90
"Slip On Sneakers for Women | Latest Fashion Mesh Casual Shoes, Shoes for Women",₹599,999,,3.7 out of 5 stars 112
Womens Ultimate Ease WNS Walking Shoe,"₹1,437","2,499",,4.1 out of 5 stars 612
Womens Running Shoes,"₹5,039","8,999",,3.6 out of 5 stars 24
Women's Lpmxt-962e Sandal,₹558,999,,4.0 out of 5 stars 5
Womens Baya Platform Clog Black Clog - 3 UK (W5) (208186-001),"₹3,146.50","4,495",Price and other details may vary based on product size and colour.,5.0 out of 5 stars 2
Womens Baya Platform Clog Black Clog - 3 UK (W5) (208186-001),"₹3,146.50","4,495",,5.0 out of 5 stars 2
Womens 327Sneaker,"₹7,699","10,999",,4.2 out of 5 stars 43
Women's Lpmxt-962e Sandal,₹558,999,,4.0 out of 5 stars 5
Women 500 Violet Shadow Sneakers (GW500MA2),"₹4,899","6,999",,
Womens Dynamite WNS Slip-on,"₹1,739","4,499",,3.9 out of 5 stars 127
Womens VesperSneaker,"₹2,019","4,299",,3.3 out of 5 stars 3
Womens Bobs Sparrow 2.0-Allegiance CSneaker,"₹3,252","5,799",,4.3 out of 5 stars 3
Womens Ivana Running Shoe,,,,4.1 out of 5 stars 601
Sneakers for Women,₹599,999,50+ bought in past month,3.8 out of 5 stars 206
Womens Weld-softyWalking Shoe,₹308,499,,3.9 out of 5 stars 134
Womens Britney ECasual Shoe,₹606,"1,199",,4.0 out of 5 stars 7
Unisex-Adult Crocband Light Grey/Navy Clogs-8 Men/ 9 UK Women (M9W11) (11016-01U),"₹1,849","2,995",50+ bought in past month,"4.4 out of 5 stars 2,310"
Womens Skech-lite Pro - Light RushWalking Shoe,"₹3,083","5,499",,4.1 out of 5 stars 19
Comfotable Lightweight Casual Lace-Up Sneaker for Women/Girls,₹599,999,50+ bought in past month,3.9 out of 5 stars 351
Womens Sl-173 Sneaker,₹439,549,,3.8 out of 5 stars 20
Womens Dory ECasual Shoe,₹845,"1,199",,3.2 out of 5 stars 90
Fashionable Comfortable Lightweight Clogs Slipper Sandal for Women's and Girls,₹616,999,,4.4 out of 5 stars 56
"Women's Barfi-02 Running,Walking,Gym,Training,Casual,Sports Shoes…",₹424,999,50+ bought in past month,"3.8 out of 5 stars 3,927"
Women Casual Shoes White Black Sneakers,₹534,999,50+ bought in past month,3.7 out of 5 stars 45
Womens Go Run Fast-invigorate Sneaker,"₹2,474","5,499",,4.1 out of 5 stars 425
Jute Handcrafted Women & Girl Casual Sneaker Shoes,"₹1,999","5,498",,
Jute Handcrafted Women & Girl Casual Sports Shoes Sneaker,"₹1,999","5,498",,2.0 out of 5 stars 1
Unisex 530 Mercury Blue Sneakers (MR530CI_New),"₹8,399","11,999",,5.0 out of 5 stars 2
Women's Handcrafted Vegan Leather Brown Mysore Garden Knotted Mule,"₹1,349","3,499",,
Women's TRENDY-01 Casual Sneaker Shoes Lightweight Soft & Comfortable with Extra Cushion Lace-Up Shoes for Women's & Girl's,₹599,999,50+ bought in past month,3.8 out of 5 stars 776
SkechersWOMENS S20022ID-GRY M,₹449,599,,4.2 out of 5 stars 7
Womens Daisy White Sneaker - 7 UK (5591294),₹376,599,,3.7 out of 5 stars 28
Womens Cassia Via CharmsSneaker,"₹2,996","6,999",,3.8 out of 5 stars 5
Comfotable Lightweight Casual Sneaker for,₹599,999,50+ bought in past month,3.6 out of 5 stars 239
Women's Sneaker,₹799,"1,499",50+ bought in past month,"4.0 out of 5 stars 3,368"
Comfotable Lightweight Casual Sneaker for Women/Girls,₹599,999,50+ bought in past month,4.7 out of 5 stars 3
Front Tie Detailed Loafers for Women & Girls,₹899,"1,999",50+ bought in past month,4.4 out of 5 stars 8
Women's Black Sneakers (Black,₹799,"1,499",,4.0 out of 5 stars 960
SkechersWOMENS S20029ID-BLK M,₹487,649,,4.1 out of 5 stars 6
Women Trendy Casual Sneaker Shoes Lightweight Soft & Comfortable with Extra Cushion Lace-Up Shoes for Women's & Girl's,₹599,999,50+ bought in past month,3.6 out of 5 stars 158
Comfortable & Light Weight Slip-On Casuals for Women,₹501,"1,149",,3.8 out of 5 stars 72
Womens Flex Appeal 4.0-Elegant WaysSneaker,"₹2,699","5,999",,4.2 out of 5 stars 152
Womens Smashic WmnCasual Shoe,"₹1,739","4,499",50+ bought in past month,4.0 out of 5 stars 178
